t	rollEr	q	u
6.18954110146	24.99	170.877941534	5.12633824602
6.19952011108	26.63	164.344966193	4.93034898578
6.2095220089	28.25	161.969261281	4.85907783843
6.21950602531	29.86	161.257747636	4.83773242908
6.22952795029	31.41	154.660906388	4.63982719163
6.23956799507	32.86	144.421666548	4.33264999644
6.24954795837	34.15	129.258992331	3.87776976994
6.25953912735	35.27	112.098994893	3.3629698468
6.269562006	36.19	91.7899969076	2.75369990723
6.27952408791	37.12	93.353980471	2.80061941413
6.28952503204	38.1	97.9907483253	2.93972244976
6.29952502251	39.09	99.0000944138	2.97000283242
6.30941510201	40.13	105.155878694	3.15467636083
6.31955814362	41.25	110.420526996	3.31261580989
6.32957005501	42.39	113.864371681	3.41593115043
6.3395409584	43.5	111.32391478	3.33971744339
6.34954214096	44.56	105.987466387	3.17962399161
6.35952806473	45.56	100.140960749	3.00422882246
6.36955904961	46.46	89.7219974806	2.69165992442
6.37951612473	47.39	93.4009223475	2.80202767043
6.38965415955	48.33	92.720139222	2.78160417666
6.3995411396	49.25	93.0516694398	2.79155008319
6.40954613686	50.22	96.9515508531	2.90854652559
6.41956114769	51.28	105.841123649	3.17523370947
6.42955303192	52.4	112.090970436	3.36272911308
6.4395711422	53.55	114.792108332	3.44376324996
6.4495511055	54.71	116.232892329	3.48698676987
6.45964193344	55.87	114.955879406	3.44867638219
6.46953606606	57.05	119.26260199	3.57787805971
6.47956705093	58.23	117.635507808	3.52906523424
6.48957300186	59.36	112.93279451	3.3879838353
6.49956011772	60.47	111.143198453	3.33429595359
6.50954508781	61.55	108.162567335	3.24487702006
6.51955699921	62.59	103.876268902	3.11628806706
6.52956414223	63.61	101.927193196	3.05781579587
6.53955197334	64.66	105.12792896	3.15383786881
6.54958105087	65.69	102.701369785	3.08104109355
6.5595369339	66.65	96.4253996839	2.89276199052
6.56957697868	67.52	86.6529999288	2.59958999786
6.57963705063	68.3	77.5342367579	2.32602710274
6.58932209015	68.98	70.2113810251	2.10634143075
6.59932112694	69.57	59.0056834927	1.77017050478
6.60931611061	70.13	56.0281055293	1.68084316588
6.61930704117	70.73	60.0544660542	1.80163398163
6.62926793098	71.32	59.2316560952	1.77694968285
6.6392390728	71.91	59.1707560614	1.77512268184
6.64968109131	72.48	54.5871470649	1.63761441195
6.65932106972	73.0	53.9420295303	1.61826088591
6.66930508614	73.46	46.0736421817	1.38220926545
6.67929911613	73.83	37.0221021995	1.11066306599
6.68969011307	74.16	31.7582617075	0.952747851226
6.69942498207	74.44	28.7625852906	0.862877558718
6.7093269825	74.69	25.2474236733	0.757422710199
6.72027111053	74.92	21.015836002	0.63047508006
